"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_offshore","lead_onshore","lead_solar","lead_commission","lead_ccgt","lead_coal","cf_wind","cf_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_1",0.62,0.79,0.26,0.57,0.4,0.35,0.84,0.68,0.74,0.5,0.33,0.03,0.66,0.74,0.18,0.38953488372093,0.646341463414634,0.0119,0.1174,0.5685,0.816,0.126262626262626,0.055,0.385,0.0859999999999999,0.95,0.369189189189189,0.321,0.752,0.682,0.887,0.256
"S3_2",0.23,0.29,0.88,0.14,0.14,0.62,0.48,0.97,0.43,0.44,0.05,0.7,0.13,0.32,0.92,0.813953488372093,0.957317073170732,0.6538,0.987,0.104,0.345,0.808080808080808,0.45,0.165,0.184,0.495454545454545,0.78945945945946,0.992,0.509,0.723,0.878,0.88
"S3_3",0.43,0.87,0.19,0.64,0.48,0.85,0.79,0.46,0.26,0.27,0.76,0.18,0.23,0.18,0.47,0.122093023255814,0.902439024390244,0.1528,0.5756,0.759,0.562,0.914141414141414,0.541,0.393,0.727,0.792727272727273,0.128108108108108,0.835,0.974,0.241,0.375,0.703
"S3_4",0.71,0.68,0.28,0.33,0.18,0.84,0.78,0.93,0.36,0.96,0.75,0.86,0.91,0.57,0.19,0.918604651162791,0.219512195121951,0.301,0.7091,0.642,0.773,0.147474747474748,0.299,0.863,0.921,0.810909090909091,0.934864864864865,0.379,0.629,0.116,0.047,0.382
"S3_5",0.52,0.92,0.9,0.38,0.22,0.62,0.18,0.33,1,0.61,0.61,0.11,0.05,0.82,0.4,0.877906976744186,0.835365853658536,0.5499,0.2311,0.659,0.0249999999999999,0.675757575757576,0.583,0.59,0.907,0.746363636363636,0.423783783783784,0.478,0.315,0.815,0.06,0.608
"S3_6",0.66,0.46,0.67,0.44,0.71,0.98,0.47,0.49,0.77,0.71,0.84,0.03,0.48,0.12,0.26,0.13953488372093,0.432926829268293,0.5943,0.2909,0.079,0.351,0.398989898989899,0.471,0.653,0.796,0.736363636363636,0.418648648648649,0.532,0.09,0.635,0.468,0.526
"S3_7",0.07,0.24,0.06,0.67,0.08,0.15,0.04,0.36,0.2,0.07,0.7,0.33,0.38,0.32,0.08,0.191860465116279,0.896341463414634,0.7061,0.3764,0.1935,0.739,0.472727272727273,0.264,0.69,0.17,0.0618181818181819,0.564864864864865,0.26,0.927,0.175,0.281,0.395
"S3_8",0.76,0.18,0.5,0.77,0.85,0.86,0.27,0.15,0.54,0.24,0.73,0.79,0.95,0.43,0.28,0.680232558139535,0.573170731707317,0.7763,0.8229,0.6315,0.373,0.914141414141414,0.619,0.271,0.783,0.762727272727273,0.946216216216216,0.406,0.634,0.725,0.405,0.537
"S3_9",0.53,0.01,0.57,0.17,0.96,0.05,0.3,0.55,0.92,0.31,0.59,0.29,0.71,0.46,0.76,0.465116279069767,0.0548780487804879,0.7307,0.3586,0.136,0.171,0.135353535353535,0.775,0.609,0.184,0.592727272727273,0.707297297297297,0.053,0.499,0.872,0.411,0.164
"S3_10",0.12,0.36,0.45,0.81,0.26,0.79,0.53,0.62,0.45,0.37,0.21,0.66,0.35,0.3,0.35,0.912790697674419,0.152439024390244,0.5157,0.3718,0.2605,0.902,0.887878787878788,0.039,0.702,0.208,0.425454545454545,0.47972972972973,0.249,0.997,0.368,0.232,0.323
