ID,E+_cp,E+_reg,US_cp,US_reg,CN_cp,CN_reg,IN_cp,IN_reg,ROW_cp,ROW_reg,learning_solar,learning_wind,lifetime_solar,lifetime_wind,grid_expansion_lead,south_discr,north_discr
S3_0,0.3100127689762435,0.9403699212958546,0.5315951668508186,0.7317267770934506,0.9021612252455796,0.9015939336434742,0.6193679680092433,0.5662330739068572,0.17839633439574396,0.2895547561447339,-0.20944458148576342,-0.16040163539413474,29.0,26.0,2.0,0.1257426725128658,0.1122655480177516
S3_1,0.9923619932833816,0.40026482817947695,0.2787738266644576,0.057296334219198615,0.16082807973133942,0.1697238082455022,0.05148532450521615,0.3444635358673747,0.4719063485910256,0.5008643286477958,-0.2641918342499718,-0.16800399081638834,26.0,27.0,2.0,0.18971935259093348,0.10931937464501454
S3_2,0.49477711160814075,0.0024167882035005684,0.4710014307155631,0.4048619114035523,0.4210461779326133,0.5390390077500559,0.413434156643502,0.09320697442968777,0.10373739187122513,0.403401947888172,-0.3167495888823457,-0.16519853103248097,25.0,32.0,2.0,0.1261438610378895,0.05299151976505925
S3_3,0.38728418908222584,0.7323655809065225,0.7675018366634255,0.41450888767745914,0.6666032011159508,0.2589542912126769,0.5135208932213375,0.9713578996148979,0.7532433110903644,0.8310528390174626,-0.31124743262649235,-0.1929490704346284,31.0,33.0,1.0,0.190598277713524,0.1595199351386274
S3_4,0.5777396661055093,0.8966874880138365,0.8871212487426142,0.47307478784688856,0.5372008126666683,0.6495045410834618,0.2324758919622602,0.9649740583306585,0.1819830111757387,0.7733756223826859,-0.2775512861769269,-0.25715574023529625,28.0,28.0,1.0,0.14540721517612065,0.056674564483004015
S3_5,0.4304804413088277,0.14742947110236293,0.4108728723025157,0.2385993580902728,0.2780714584401466,0.9433718424022512,0.043862187608355974,0.7785825975093236,0.013488821606027738,0.33725992263998067,-0.29187375364384194,-0.1751509555999687,31.0,27.0,1.0,0.1586117913325225,0.08570030040749052
S3_6,0.5221394060972,0.29357358366088415,0.3103770272273969,0.9347133432430124,0.950624253133579,0.929634712430428,0.6870145545525997,0.4310020619738851,0.7988249616374793,0.9362219790828477,-0.29438710911905247,-0.16498967366803502,28.0,30.0,2.0,0.15956362819345726,0.1373348726590013
S3_7,0.9284744814239413,0.8186719659850852,0.08109941090052258,0.16655600352878938,0.8665813622786332,0.3067779761432698,0.5069623793321264,0.9849855764063047,0.963512501608039,0.8582517025070133,-0.1738383359046669,-0.2220616846382392,33.0,26.0,1.0,0.1675849851403196,0.07325903867664196
S3_8,0.7924543552536315,0.06358064171882924,0.4468365944204088,0.8284438858142686,0.29730994972720937,0.5225876640309477,0.8681486185663472,0.37735873554365335,0.32728668735571126,0.35067374799349865,-0.3625310860759816,-0.11539455558688846,28.0,25.0,2.0,0.19027113708524035,0.07036678164490498
S3_9,0.9069046212633993,0.8580605444407348,0.11288215500435272,0.697521505801453,0.7026165256708929,0.9112877963678665,0.8842899530240835,0.4682114183304072,0.39410148332858747,0.949550888256178,-0.3546864440422607,-0.1085300034925781,27.0,26.0,2.0,0.18433780920184478,0.10659239156605202
S3_10,0.5684193235391874,0.23689564729659277,0.3521660991067626,0.9691103152658427,0.4444151783629768,0.5774642541054399,0.6072348623007071,0.19293848224414575,0.44706180384451844,0.7428191353041467,-0.29428400305100355,-0.14491213160482452,34.0,27.0,1.0,0.19285749498008198,0.07470204520428285
S3_11,0.6398142352476125,0.7466164028012714,0.8425388031124976,0.7258036704080305,0.9218024019431642,0.28222863272216236,0.5521744457460234,0.8807296699480538,0.2465907192246593,0.9754445343999459,-0.2606444241601519,-0.11644334827388221,29.0,29.0,1.0,0.13374488925278039,0.10786333718755553
S3_12,0.33365136023506237,0.842207827169516,0.8053400341663096,0.010578079639832118,0.0013740118378798571,0.46744090530975646,0.2683401054498195,0.15850773951755534,0.8177172974779063,0.4296381698239539,-0.326685048232779,-0.20776035190595732,33.0,31.0,1.0,0.17279035216128907,0.09821259251792927
S3_13,0.10695168075381649,0.519505789903316,0.34550568054508835,0.5265435998389943,0.17038842921516575,0.2990580323276328,0.14892764914536494,0.7473840348134518,0.9230819387363778,0.673416598388697,-0.3841690335425481,-0.16044708661242824,32.0,33.0,1.0,0.15748730404161776,0.06113230407518149
S3_14,0.18836406344326867,0.863839501988536,0.9039280128591584,0.2869179146151472,0.7111182150853093,0.8498739783694838,0.8575034322865942,0.2559706108416739,0.8728266920744102,0.2591788632686427,-0.30644140542713244,-0.18283905066454267,25.0,34.0,1.0,0.12143727986918852,0.10866542228240353
