scenario,EA_phase_pol,EA_price_pol,EA_cp_pol,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_offshore,lead_onshore,lead_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_1,0.42,0.21,0.54,0.78,0.64,0.01,0.54,0.71,0.33,0.03,0.46,0.48,0.94,0.22,0.73,0.14,0.21,0.87,-0.384,-0.209,32,30,5,1,2,0.206,0.25,0.231,0.503,0.664
S3_2,0.24,0.38,0.99,0.97,0.47,0.89,0.21,0.4,0.83,0.14,0.06,0.69,0.18,0.85,0.57,0.79,0.88,0.23,-0.24,-0.25,31,32,7,3,3,0.631,0.904,0.219,0.13,0.839
S3_3,0.28,0.67,0.56,0.14,0.73,0.46,0.45,0.4,0.66,0.42,0.92,0.33,0.64,0.89,0.37,0.8,1,0.2,-0.367,-0.16,29,29,5,4,1,0.834,0.097,0.764,0.289,0.14
S3_4,0.31,0.71,0.89,0.06,0.39,0.06,0.59,0.4,0.69,0.94,0.26,0.32,0.46,0.5,0.17,0.75,0.48,0.57,-0.355,-0.172,27,27,5,3,1,0.555,0.77,0.521,0.935,0.865
S3_5,0.53,0.79,0.63,0.7,0.12,0.77,0.54,0.93,0.68,0.9,0.88,0.06,0.84,0.04,0.82,0.66,0.72,0.91,-0.263,-0.177,32,31,4,1,1,0.947,0.959,0.167,0.33,0.985
S3_6,0.91,0.66,0.67,0.23,0.41,0.68,0.49,0.8,0.77,0.38,0.81,0.87,0.24,0.95,0.67,0.47,0.27,0.43,-0.364,-0.19,25,28,5,4,3,0.07,0.285,0.703,0.093,0.475
S3_7,0.07,0.61,0.87,0.6,0.64,0.74,0.76,0.93,0.55,0.25,0.84,0.73,0.54,0.11,0.29,0.9,0.99,0.73,-0.281,-0.112,34,33,7,3,2,0.6,0.63,0.742,0.048,0.227
S3_8,0.06,0.83,0.48,0.83,0.59,0.02,0.48,0.05,0.44,0.76,0.78,0.02,0.86,0.21,0.75,0.5,0.26,0.49,-0.322,-0.141,30,32,4,2,3,0.251,0.309,0.61,0.058,0.903
S3_9,0.28,0.5,0.93,0.43,0.39,0.34,0.22,0.65,0.26,0.68,0.25,0.4,0.31,0.07,0.04,0.33,0.49,0.39,-0.336,-0.269,32,27,3,3,3,0.159,0.657,0.883,0.353,0.883
S3_10,0.58,0.81,0.73,0.02,0.09,0.4,0.1,0.57,0.35,0.01,0.43,0,0.15,0.63,0.82,0.79,0.22,0.56,-0.326,-0.27,27,27,5,1,3,0.085,0.052,0.915,0.559,0.32
S3_11,0.87,0.1,0.1,0.17,0.54,0.23,0.72,0.96,0.91,0.26,0.84,0.36,0.45,0.59,0.49,0.35,0.18,0.52,-0.351,-0.154,29,28,2,1,2,0.978,0.559,0.249,0.434,0.694
S3_12,0.25,0.97,0.31,0.91,0.94,0.97,0.15,0.66,0.03,0.07,0.11,0.39,0.77,0.75,0.62,0.59,0.53,0.54,-0.279,-0.196,33,26,3,3,2,0.5,0.442,0.594,0.304,0.211
S3_13,0.71,0.69,0.07,0.15,0.65,0.78,0.75,0.27,0.4,0.96,0.14,0.99,0.83,0,0.99,0.48,0.61,0.37,-0.378,-0.211,33,27,4,2,2,0.771,0.078,0.48,0.144,0.74
S3_14,0.02,0.11,0.85,0.69,0.33,0.69,0.23,0.9,0.81,0.75,0.89,0.1,0.75,0.62,0.03,0.5,0.51,0.93,-0.286,-0.157,27,32,3,2,2,0.052,0.22,0.489,0.339,0.12
S3_15,0.24,0.41,0.31,0.61,0.4,0.94,0.62,0.52,0.68,0.99,0.56,0.07,0.47,0.25,0.12,0.54,0.09,0.23,-0.235,-0.264,29,27,7,3,3,0.995,0.5,0.185,0.548,0.752
S3_16,0.02,0.02,0.95,0.56,0.46,0.81,0.98,0.37,0.86,0.53,0.37,0.19,0.82,0.42,0.79,0.99,0.36,0.65,-0.273,-0.213,26,32,6,4,4,0.622,0.112,0.124,0.856,0.674
S3_17,0.29,0.52,0,0.42,0.1,0.45,0.22,0.97,0.27,0.24,0.1,0.02,0.96,0.46,0.12,0.7,0.05,0.35,-0.288,-0.223,29,32,3,1,3,0.415,0.994,0.301,0.898,0.195
S3_18,0.9,0.28,0.84,0.25,0.25,0.92,0.08,0.97,0.3,0.17,0.29,0.48,0.68,0.87,0.21,0.92,0.84,0.16,-0.325,-0.159,26,25,5,4,2,0.47,0.38,0.336,0.893,0.944
S3_19,0.65,0.1,0.81,0.48,0.85,0.64,0.7,0.45,0.88,0.43,0.91,0.34,0.12,0.67,0.44,0.81,0.8,0.66,-0.341,-0.188,30,29,4,2,3,0.313,0.499,0.385,0.947,0.289
S3_20,0.88,0.91,0.72,0.09,0.86,0.36,0.7,0.67,0.29,0.34,0.31,0.49,0.89,0.8,0.47,0.03,0.51,0.31,-0.255,-0.149,29,31,7,2,2,0.338,0.747,0.265,0.48,0.788
S3_21,0.98,0.77,0.73,0.76,0.17,0.64,0.31,0.85,0.5,0.34,0.52,0.57,0.85,0.46,0.99,0.25,0.52,1,-0.273,-0.218,28,29,2,2,3,0.638,0.407,0.491,0.174,0.276
S3_22,0.95,0.16,0.81,0.76,0.97,0.68,0.37,0.77,0.17,0.15,0.3,0.13,0.83,0.34,0.41,0.16,0.92,0.06,-0.294,-0.218,32,27,2,2,2,0.967,0.475,0.584,0.311,0.112
S3_23,0.29,0.15,0.09,0.12,0.03,0.44,0.85,0.28,0.12,0.16,0.48,0.85,0.24,0.13,0.25,0.38,0.24,0.52,-0.342,-0.155,27,34,4,2,3,0.087,0.976,0.169,0.4,0.854
S3_24,0.96,0.42,0.79,0.55,0.87,1,0.23,0.76,0.2,0.7,0.12,0.66,0.34,0.95,0.15,0.27,0.81,0.53,-0.377,-0.24,29,35,6,1,3,0.526,0.877,0.783,0.167,0.138
S3_25,0.66,0.99,0.23,0.68,0.74,0.34,0.4,0.35,0.21,0.87,0.94,0.24,0.2,0.75,0.76,0.19,0.71,0.4,-0.35,-0.215,33,27,5,3,2,0.723,0.921,0.699,0.225,0.719
S3_26,0.13,0.62,0.48,0.35,0.81,0.9,0.68,0.51,0.9,0.22,0.71,0.37,0.6,0.16,0.42,0.69,0.37,0.32,-0.271,-0.132,25,30,8,3,2,0.97,0.575,0.928,0.137,0.003
S3_27,0.58,0.04,0.58,0.53,0.55,0.65,0.65,0.76,0.61,0.84,0.61,0.96,0.04,0.11,0.7,1,0.73,0.7,-0.363,-0.118,34,28,6,1,3,0.609,0.449,0.563,0.637,0.135
S3_28,0.5,0.36,0.19,0.65,0.68,0.96,0.51,0.09,0.21,0.94,0.74,0.96,0.11,0.42,0.43,0.1,0.78,0.87,-0.335,-0.138,30,28,3,2,2,0.126,0.581,0.214,0.493,0.612
S3_29,0.52,0.01,0.36,0.99,0.7,0.86,0.95,0.17,0.77,0.75,0.82,0.08,0.57,0.39,0.54,0.22,0.05,0.33,-0.268,-0.172,35,27,7,1,1,0.582,0.556,0.287,0.471,0.402
S3_30,0.76,0.66,0.53,0.39,0.56,0.51,0.57,0.85,0.48,0.6,0.95,0.59,0.85,0.97,0.01,0.83,0.2,0.2,-0.235,-0.143,27,30,3,1,3,0.246,0.578,0.153,0.182,0.36
S3_31,0.08,0.43,0.79,0.01,0.59,0.65,0.81,0.05,0.93,0.04,0.49,0.01,0.05,0.43,0.93,0.51,0.42,0.19,-0.354,-0.217,26,25,7,1,4,0.71,0.295,0.908,0.478,0.021
S3_32,0.02,0.32,0.86,0.99,0.27,0.11,0.73,0.31,0.84,0.16,0.23,0.01,0.92,0.47,0.76,0.52,0.37,0.72,-0.275,-0.171,34,33,5,2,4,0.039,0.352,0.067,0.049,0.261
S3_33,0.8,0.07,0.68,0.04,0.89,0.27,0.65,0.93,0.58,0.41,0.66,0.24,0.73,0.69,0.78,0.86,0.12,0.06,-0.405,-0.182,32,33,3,1,2,0.868,0.064,0.075,0.247,0.933
S3_34,0.59,0.74,0.57,0.08,0.3,0.51,0.24,0.25,0.67,0.81,0.35,0.42,0.96,0.99,0.63,0.46,0.18,0.01,-0.404,-0.21,34,28,4,4,1,0.232,0.192,0.14,0.387,0.074
S3_35,0.16,0.53,0.22,0.39,0.44,0.74,0.76,0.57,0.96,0.5,0.87,0.62,0.72,0.5,0.7,0.39,0.79,0.88,-0.293,-0.168,34,27,3,2,3,0.392,0.653,0.66,0.882,0.159
S3_36,0.52,0.93,0.34,0.16,0.39,0.21,0.61,0.37,0.44,0.15,0.87,0,0.23,0.74,0.54,0.01,0.16,0.86,-0.304,-0.166,27,26,4,2,2,0.387,0.609,0.925,0.736,0.832
