scenario,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_onshore,lead_solar,lead_commission,cr_wind,cr_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_1,0.17,0.72,0.84,0.81,0.24,0.31,0.17,0.78,0.22,0.77,0.17,0.23,0.43,0.7,0.46,-0.354,-0.185,29.302,34.373,2.144,2.906,0.599,-0.644,-1.681,0.667,0.65,0.893,0.002,0.031
S3_2,0.06,0.45,0.55,0.69,0.23,0.17,0.81,0.29,0.88,0.74,0.31,0.53,0.09,0.32,0.0,-0.327,-0.179,32.516,33.307,2.082,2.983,0.973,-0.945,-3.233,0.931,0.418,0.313,0.493,0.415
S3_3,0.59,0.73,0.83,0.48,0.35,0.61,0.99,0.87,0.18,0.33,0.63,0.83,0.18,0.27,0.1,-0.285,-0.268,29.475,32.999,2.043,2.971,0.119,-0.877,-2.521,0.392,0.569,0.219,0.971,0.827
S3_4,0.12,0.11,0.69,0.81,0.37,0.68,0.39,0.08,0.71,0.71,0.78,0.23,0.57,0.66,0.63,-0.403,-0.15,33.412,33.835,2.282,1.775,0.721,-0.793,-3.078,0.768,0.127,0.924,0.097,0.811
S3_5,0.39,0.69,0.22,0.21,0.92,0.76,0.67,0.84,0.21,0.85,0.77,0.36,0.5,0.46,0.65,-0.259,-0.153,31.035,33.237,2.837,2.389,0.202,-0.689,-1.883,0.624,0.038,0.762,0.149,0.629
S3_6,0.45,0.94,0.5,0.05,0.86,0.3,0.27,0.73,0.77,0.57,0.91,0.04,0.45,0.66,0.28,-0.237,-0.208,30.792,30.761,2.263,2.215,0.856,-0.625,-3.196,0.786,0.632,0.849,0.563,0.51
S3_7,0.09,0.18,0.01,0.15,0.03,0.09,0.96,0.11,0.96,0.82,0.07,0.25,0.78,0.92,0.98,-0.335,-0.228,30.664,25.281,2.501,2.648,0.715,-0.866,-1.58,0.673,0.591,0.499,0.359,0.043
S3_8,0.2,0.32,0.24,0.52,0.04,0.89,0.4,0.91,0.11,0.15,0.56,0.75,0.4,0.51,0.11,-0.394,-0.234,28.094,33.585,2.322,1.112,0.531,-1.108,-1.832,0.166,0.836,0.994,0.019,0.14
S3_9,0.24,0.71,0.5,0.16,0.12,0.7,0.96,0.8,0.66,0.66,0.34,0.3,0.83,0.77,0.83,-0.383,-0.213,31.868,34.979,2.071,2.171,0.883,-1.08,-2.247,0.549,0.139,0.919,0.721,0.693
S3_10,0.92,0.5,0.75,0.54,0.56,0.92,0.09,0.79,0.78,0.27,0.71,0.73,0.66,0.28,0.4,-0.376,-0.251,30.415,34.697,2.69,1.74,0.544,-0.732,-2.392,0.938,0.265,0.785,0.215,0.379
S3_11,0.79,0.21,0.13,0.4,0.5,0.03,0.7,0.8,0.81,0.96,0.21,0.28,0.7,0.71,0.73,-0.361,-0.206,30.061,25.459,2.594,1.725,0.518,-0.804,-1.566,0.048,0.893,0.949,0.153,0.74
S3_12,0.35,0.75,0.12,0.9,0.78,0.07,0.02,0.38,0.53,0.32,0.72,0.11,0.28,0.55,0.78,-0.331,-0.255,34.763,31.911,2.753,2.243,0.798,-0.826,-1.955,0.388,0.994,0.47,0.16,0.361
S3_13,0.51,0.31,0.42,0.56,0.67,0.21,0.38,0.63,0.22,0.65,0.38,0.4,0.61,0.41,0.28,-0.32,-0.121,33.701,28.882,2.253,2.468,0.912,-0.765,-1.703,0.009,0.694,0.45,0.368,0.95
S3_14,0.85,0.73,0.09,0.07,0.02,0.39,0.41,0.6,0.33,0.2,0.37,0.38,0.89,0.8,0.98,-0.34,-0.249,31.791,32.88,2.722,2.22,0.515,-0.888,-2.986,0.577,0.148,0.629,0.411,0.633
S3_15,0.45,0.69,0.84,0.13,0.13,0.63,0.73,0.45,0.19,0.5,0.7,0.94,0.14,0.73,0.75,-0.309,-0.263,32.315,29.73,2.992,2.922,0.38,-0.84,-2.92,0.555,0.994,0.863,0.608,0.888
S3_16,0.42,0.85,0.57,0.97,0.35,0.22,0.61,0.58,0.17,0.73,0.4,0.6,0.67,0.3,0.62,-0.284,-0.226,29.848,34.107,2.876,1.309,0.352,-0.834,-2.726,0.784,0.313,0.632,0.309,0.088
S3_17,0.58,0.95,0.58,0.02,0.55,0.06,0.0,0.26,0.05,0.94,0.96,0.48,0.93,0.63,0.92,-0.373,-0.124,25.262,29.953,2.4,2.068,0.68,-0.781,-2.163,0.211,0.193,0.755,0.555,0.857
S3_18,0.87,0.37,0.84,0.24,0.07,0.72,0.2,0.38,0.93,0.26,0.6,0.26,0.8,0.97,0.55,-0.387,-0.126,33.162,26.962,2.261,1.296,0.998,-0.886,-2.066,0.347,0.863,0.688,0.863,0.409
S3_19,0.19,0.22,0.95,0.03,0.83,0.67,0.63,0.74,0.86,0.91,0.14,0.12,0.34,0.94,0.38,-0.365,-0.268,30.325,32.733,2.31,2.787,0.85,-0.66,-2.363,0.013,0.866,0.726,0.646,0.235
S3_20,0.32,0.78,0.38,0.45,0.66,0.69,0.07,0.33,0.3,0.54,0.13,0.54,0.76,0.03,0.19,-0.236,-0.2,26.322,33.172,2.533,1.371,0.067,-0.984,-2.961,0.476,0.663,0.116,0.506,0.589
S3_21,0.99,0.83,0.35,0.05,0.68,0.66,0.24,0.55,0.01,0.28,0.55,0.64,0.72,0.63,0.65,-0.273,-0.174,28.45,32.937,2.07,2.512,0.92,-0.843,-1.66,0.604,0.486,0.245,0.864,0.49
S3_22,0.32,0.24,0.04,0.75,0.65,0.61,0.25,0.36,0.64,0.99,0.35,0.74,0.74,0.3,0.02,-0.249,-0.183,27.537,29.22,2.001,2.731,0.283,-0.723,-3.013,0.708,0.238,0.109,0.887,0.285
S3_23,0.9,0.88,0.75,0.19,0.72,0.45,0.89,0.0,0.44,0.69,0.44,0.67,0.5,0.84,0.29,-0.329,-0.235,31.926,27.313,2.765,2.042,0.602,-0.719,-3.309,0.511,0.13,0.251,0.5,0.084
