T2TI,1 Baseload,2 Lower mid-load,3 Upper mid-load,4 Peak load,5 Back up reserve,6 Var renewables
1 Nuclear,1.0,0.0,0.0,0.0,0.0,0.0
2 Oil,1.0,1.0,1.0,1.0,1.0,0.0
3 Coal,1.0,1.0,1.0,0.0,0.0,0.0
4 Coal + CCS,1.0,1.0,1.0,0.0,0.0,0.0
5 Waste,1.0,1.0,1.0,0.0,0.0,0.0
6 Waste + CCS,1.0,1.0,1.0,0.0,0.0,0.0
7 CCGT,1.0,1.0,1.0,1.0,1.0,0.0
8 CCGT + CCS,1.0,1.0,1.0,1.0,1.0,0.0
9 OCGT,1.0,1.0,1.0,1.0,1.0,0.0
10 OCGT + CCS,1.0,1.0,1.0,1.0,1.0,0.0
11 Biomass,1.0,1.0,1.0,0.0,0.0,0.0
12 Biomass + CCS,1.0,1.0,1.0,0.0,0.0,0.0
13 Large Hydro,1.0,1.0,1.0,1.0,1.0,0.0
14 Pumped Hydro,1.0,1.0,1.0,1.0,1.0,0.0
15 Geothermal,1.0,0.0,0.0,0.0,0.0,0.0
16 Marine,0.0,0.0,0.0,0.0,0.0,1.0
17 Onshore,0.0,0.0,0.0,0.0,0.0,1.0
18 Offshore,0.0,0.0,0.0,0.0,0.0,1.0
19 Solar PV,0.0,0.0,0.0,0.0,0.0,1.0
20 CSP,1.0,1.0,1.0,0.0,0.0,0.0
21 Fuel cells / Turbine,1.0,1.0,1.0,1.0,1.0,0.0
22 Lithium-ion,1.0,1.0,1.0,1.0,1.0,0.0
