,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SW,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515,8.6515
UK,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493,0.8493
CZ,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797,25.9797
EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LV,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981,0.9981
LT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HU,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873,296.873
MT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PL,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975,4.1975
SI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BG,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558
RO,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419,4.419
NO,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067,7.8067
CH,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311,1.2311
IS,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38,162.38
HR,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786,7.5786
TR,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335
MK,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585,61.585
US,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281,1.3281
JA,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186,129.6186
CA,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681,1.3681
AU,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757,1.3757
NZ,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195,1.6195
RS,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835,42.2835
RA,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794,1.1794
CN,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287,8.2287
IN,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249,77.8249
MX,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627,16.9627
BR,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635,2.8635
AR,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507,7.2507
CO,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675,2481.9675
LA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KR,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939,1454.0939
TW,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392,39.5392
ID,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617,13893.7617
AS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UE,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156,10.6156
SD,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804,4.9804
NG,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285,208.9285
SA,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231,12.8231
ON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MY,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848,4.1848
KZ,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455,202.0455
AN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EG,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703,6.8703
DC,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659,919.5659
KE,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233,86.1233
UA,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725
PK,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289,101.6289
