,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AT,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783,1.0783
PT,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395,1.0395
FI,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942,1.0942
SW,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581,0.9581
UK,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767,1.0767
CZ,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481,1.0481
EN,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222,1.1222
CY,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377,1.0377
LV,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841,1.0841
LT,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908,1.0908
HU,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082,1.1082
MT,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659,1.0659
PL,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593,1.0593
SI,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506,1.0506
SK,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905,1.0905
BG,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251,1.0251
RO,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048,1.1048
NO,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434,1.0434
CH,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936,0.9936
IS,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358,1.1358
HR,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552,1.0552
TR,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179,1.2179
MK,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177,1.1177
US,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245,1.0245
JA,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184,1.184
CA,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327,1.0327
AU,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093,1.0093
NZ,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063,0.9063
RS,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634,0.9634
RA,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286,2.286
CN,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155,1.155
IN,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985,1.2985
MX,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064,1.1064
BR,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269,1.2269
AR,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854,1.7854
CO,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955,1.0955
LA,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663,1.0663
KR,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769,0.9769
TW,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289,1.0289
ID,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232
AS,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674,1.1674
OP,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822,1.1822
RW,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881,1.0881
UE,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03
SD,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187,1.1187
