,1 Carbon Costs ($/MWh),2 std ($/MWh),3 Investment ($/kW),4 std ($/MWh),5 Fuel ($/MWh),6 std ($/MWh),7 O&M ($/MWh),8 std ($/MWh),9 Lifetime (years),10 Lead Time (years),11 Decision Load Factor,12 Type (0;1;2;3),13 Efficiency (%),14 Resource (%),15 Emissions (tCO2/GWh),16 Learning exp,17 Discount Rate (%),18 Variable (0 or 1),19 Flexible (0 or 1),20 Baseload (0 or 1),21 Storage,22 Gamma,23 Value factor
1 Nuclear,0,0,4546.076,1818.43,9.098,3.639,50.382,20.153,48,4,0.95,1,1,1,0,-0.0862010350493039,0.05,0,0,1,0,-0.05,1
2 Oil,0,0,2084,833.6,57.59,23.036,17.16,6.864,40,4,0.85,1,0.45,0.272616577445414,751.849659257691,-0.014499569695115,0.05,0,1,0,0,0.17,1
3 Coal,0,0,2774.907,1109.963,57.241,22.896,22.151,8.86,40,2,0.85,1,0.4,0.416820041988634,760,-0.043943347587597,0.039,0,0,1,0,-0.08,1
4 Coal + CCS,0,0,2671.437,779.493,26.771,10.708,34.323,2.541,40,2,0.85,1,0.35,0.367198608418558,76,-0.0740005814437769,0.039,0,0,1,0,0,1
5 Waste,0,0,2190.724,876.29,76.276,30.51,20.542,7.083,40,4,0.85,2,0.25,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,-0.06,1
6 Waste + CCS,0,0,4676.529,1416.079,122.041,48.816,32.867,11.333,40,4,0.85,2,0.15,0.273197310310639,0,-0.104697378666693,0.05,0,0,1,0,0,1
7 CCGT,0,0,1272.167,508.867,70.032,28.013,8.833,3.533,25,2,0.85,1,0.565,0.513210825557584,370,-0.0588936890535685,0.039,0,1,0,0,0.08,1.15
8 CCGT + CCS,0,0,2152.986,703.467,64.101,25.64,14.3,4.317,30,2,0.85,1,0.448,0.423173838617657,37,-0.0740005814437769,0.039,0,1,0,0,0.05,1.15
9 OCGT,0,0,765.751,295.769,88.031,35.212,22.152,7.557,26,2,0,1,0.36,0.4,370,-0.0588936890535685,0.042,0,1,0,0,0,1.15
10 OCGT + CCS,0,0,1499.014,449.704,94.674,37.87,40.296,10.618,27,1,0,1,0.324,0.36,37,-0.0740005814437769,0.042,0,1,0,0,0,1.15
11 Biomass,0,0,3856.403,1156.921,60.791,24.316,35.289,10.587,25,1,0.85,2,0.32,0.310115865758023,0,-0.0740005814437769,0.05,0,0,1,0,-0.4,1
12 Biomass + CCS,0,0,6170.245,1851.073,97.266,38.906,56.462,16.939,25,1,0.85,2,0.3,0.273197310310639,-980.756756756756,-0.104697378666693,0.05,0,0,1,0,-0.57,1
13 Large Hydro,0,0,1961.636,784.655,0,0,26.384,10.554,55,5,0.4,4,1,1,0,-0.0203404482841755,0.05,0,1,0,0,0.35,1.15
14 Pumped Hydro,0,0,1319.253,733.058,0,0,88.177,16.433,46,5,0,5,0.75,0.75,0,-0.2,0.047,0,0,0,1,-0.15,1.15
15 Geothermal,0,0,8055.75,2416.725,0,0,39.691,11.907,40,4,0.85,3,1,1,0,-0.0740005814437769,0.05,0,0,1,0,-0.02,1
16 Marine,0,0,9443,3777.2,0,0,60,20,25,2,0,3,1,1,0,-0.084,0.05,0,0,1,0,0,1
17 Onshore,0,0,2384,953.6,0,0,45.936,18.374,25,2,0.265,0,1,1,0,-0.194,0.066,1,0,0,0,-0.32,0.85
18 Offshore,0,0,5528,2211.2,0,0,48.3,19.32,26,3,0.39,0,1,1,0,-0.194,0.066,1,0,0,0,0.11,0.9
19 Solar PV,0,0,1875,750,0,0,21.301,6.221,34,1,0.16,0,1,1,0,-0.319,0.032,1,0,0,0,-0.37,0.85
20 CSP,0,0,5875.847,1982.387,0,0,22.256,8.702,25,2,0.32,0,0.2,0.2,0,-0.194,0.05,0,0,1,0,0,1
21 Fuel cells / Turbine,0,0,1352.117,441.791,9999,0,5.822,1.772,27,2,0.85,5,0.57,0.720295895519417,359.295311277135,-0.071,0.039,0,0,0,1,0,1
22 Lithium-ion,0,0,1516.438,371.669,0,0,29.004,4.834,18,1,0,5,0.917,1,0,-0.168,0.05,0,0,0,1,0,1
