,1 Baseload,2 Lower mid-load,3 Upper mid-load,4 Peak load,5 Back up reserve,6 Var renewables
1 Nuclear,1,0,0,0,0,0
2 Oil,0,0,0,0,1,0
3 Coal,0,0,1,0,0,0
4 Coal + CCS,0,0,1,0,0,0
5 Waste,0,0,1,0,0,0
6 Waste + CCS,0,0,1,0,0,0
7 CCGT,0,0,0,0,1,0
8 CCGT + CCS,0,0,0,0,1,0
9 OCGT,0,0,0,0,1,0
10 OCGT + CCS,0,0,0,0,1,0
11 Biomass,0,0,1,0,0,0
12 Biomass + CCS,0,0,1,0,0,0
13 Large Hydro,0,0,0,0,0,1
14 Pumped Hydro,0,0,0,0,0,1
15 Geothermal,1,0,0,0,0,0
16 Marine,0,0,0,0,0,1
17 Onshore,0,0,0,0,0,1
18 Offshore,0,0,0,0,0,1
19 Solar PV,0,0,0,0,0,1
20 CSP,0,0,1,0,0,0
21 Fuel cells / Turbine,0,0,0,0,1,0
22 Lithium-ion,0,0,0,0,1,0
