RTI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
18 Cyprus (CY),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19 Latvia (LV),1.0,0.9966,0.9838,0.9898,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917,0.9917
20 Lithuania (LT),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21 Hungary (HU),1.0,1.0141,1.05,1.0777,1.1206,1.1253,1.1305,1.1224,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576,1.1576
22 Malta (MT),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23 Poland (PL),1.0,1.0315,1.0476,1.0508,1.0475,1.0474,1.0922,1.0657,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667,1.0667
24 Slovenia (SI),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25 Slovakia (SK),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26 Bulgaria (BG),1.0,1.0,1.0,1.0,1.0,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
27 Romania (RO),1.0,1.0064,1.0587,1.0491,1.055,1.0553,1.066,1.0847,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049,1.1049
28 Norway (NO),1.0,0.9736,0.9339,0.9753,1.0437,1.1181,1.1608,1.1652,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199,1.199
29 Switzerland (CH),1.0,0.893,0.8732,0.8918,0.8799,0.7737,0.7897,0.8056,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367,0.8367
30 Iceland (IS),1.0,0.9971,0.9928,1.003,0.9565,0.9038,0.8252,0.7446,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79
31 Croatia (HR),1.0,1.0206,1.0319,1.0397,1.0474,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337,1.0337
32 Turkey (TR),1.0,1.1709,1.1588,1.269,1.4558,1.5151,1.6744,2.0641,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589,2.8589
33 Macedonia (MK),1.0,1.0002,1.0002,1.0011,1.0017,1.0015,1.0012,1.0009,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
34 USA (US),1.0,1.05,0.9691,1.0018,1.0021,0.8373,0.835,0.8524,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908,0.8908
35 Japan (JA),1.0,0.9546,0.8809,1.1138,1.2095,1.1541,1.0348,1.0889,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206,1.1206
36 Canada (CA),1.0,1.0083,0.9402,1.0018,1.0747,1.0391,1.0742,1.0735,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204,1.1204
37 Australia (AU),1.0,0.9337,0.8586,0.9519,1.0198,1.022,1.0303,1.0199,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939,1.0939
38 New Zealand (NZ),1.0,0.9576,0.8619,0.8802,0.8704,0.8647,0.8642,0.8642,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278
39 Russian Fed. (RS),1.0,1.0159,0.9842,1.0503,1.2664,1.6794,1.8437,1.6371,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383,1.8383
40 Rest of Annex I (RA),1.0,1.7536,2.7126,2.9868,3.4398,4.4749,5.5766,5.5285,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932,6.0932
41 China (CN),1.0,1.0021,0.9036,0.9168,0.9093,0.7698,0.8195,0.8507,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705,0.8705
42 India (IN),1.0,1.0717,1.1326,1.2838,1.3375,1.1742,1.227,1.2136,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323,1.3323
43 Mexico (MX),1.0,1.0323,1.01,1.0126,1.0542,1.0497,1.2332,1.2763,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567,1.3567
44 Brazil (BR),1.0,0.9984,1.0759,1.2278,1.3403,1.5826,1.6572,1.5457,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502,1.8502
45 Argentina (AR),1.0,1.1076,1.1285,1.4037,2.0769,1.9832,3.1626,3.6224,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233,6.4233
46 Colombia (CO),1.0,1.0221,0.9172,0.9861,1.0566,1.2087,1.3431,1.3246,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868,1.3868
47 Rest LatinAmerica(LA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
