                  The following list contains the names of variables,
                  parameters, switches & converters for IDIOM.  All variables &
                  and parameters are by European region unless otherwise specified
                  (15/08/02 213 more can be defined.) The columns of the list are
                  First column: symbolic name
                  Second and third columns: identitiers of internal
                         IDIOM classifications for rows & cols (U also dummy)
                  Fourth column: units of measurement
                                  1 constant price values million euro
                                  2 current price values million euro
                                  3 base year=1.0
                                  4 thousands  (no decimal place)
                                  5 rate as specified (no dec)
                                  6 rate as specified (3 dec)
                                  7 titles
                                  8 parameters (4 dec)
                                  9 working variable
                  Fifth column: identifier for type of IDIOM store (0 no store)
                   1 fixed store for variables
                   2 fixed store for parameters (ordered as in BLKDATA SYMSF)
                   3 store for sparse matrices
                   4 store for switches  (ordered as in BLKDATA SYMSF)
                   5 store for macrovariables
                   6 store for workspace
                   7 titles
QY    2  2 1 1    average input-output coefficients (BQRY holds regional IO tables)
QY1   2  1 1 1    Lagged QRY
QR    2  1 1 1    output of products at basic prices
QEU   2  0 1 1    EU output of products
QRD   2  1 1 1    total product domestic demand (QRY+QRC+QRG+QRK+QRS)
QRFU  2  1 1 1    product final uses (QRC+QRG+QRK+QRS+QRX)
QRDC  2  1 6 1    logistic changes in row coeffs, I-O and classn converters
QRDI  2  1 1 1    total supply indicator (QR+QRM)
QRDR  2  1 6 1    ratio QRDI/(QRD+QRX) formed in QRM.FOR
QRC   2  1 1 1    products purchased by consumers
QRCA  2  1 1 1    products purchased by consumers actuals
QRG   2  1 1 1    products purchased by government
QRGA  2  1 1 1    products purchased by government actuals
QRM   2  1 1 1    product imports
QRM1  2  1 1 1    lagged QRM
QIM   2  1 1 1    product imports from rest of EU
QIM1  2  1 1 1    lagged QIM
QEM   2  1 1 1    product imports from outside EU
QEM1  2  1 1 1    lagged QEM
QXEU  2  0 1 1    internal EU-15 product exports (sum QIX)
QXEE  2  0 1 1    external EU-15 product exports (sum QRX-QIX)
QMEU  2  0 1 1    internal EU-15 product imports (sum QIM)
QMEE  2  0 1 1    external EU-15 product imports (sum QRM-QIM)
QRS   2  1 1 1    stockbuilding by product content
QRK   2  1 1 1    product flows to fixed investment
QRKA  2  1 1 1    product flows to fixed investment actuals
QK5   2  1 1 1    product flows to fixed investment for non-resid build.
QK6   1  0 1 1    product flows to fixed investment for civil engi. works
QK7   1  0 1 1    product flows to fixed investment for other products
QRXS  2  1 6 1    100*(QRX/QR) regional % shares of exports in total output
QRMS  2  1 6 1    100*(QRM/QRD) regional % shares of imports in domestic demand
QRIX  2  1 6 1    100*(QIX/QR) regional % shares of intra-EU exports in output
QRIM  2  1 6 1    100*(QIM/QRD) regional % shares of intra-EU imports in dom. demand
QIMS  2  0 6 1    100*(QMEU/SUM(QRD)) EU-15 %share internal imports in dom. demand
QEXS  2  0 6 1    100*(QXEU/QEU) EU-15 %share internal exports in gross output
QXER  2  0 6 1    100*(SUM(QIX)/SUM(QRX)) % of internal to total EU-15 exports
QRMI  2  1 6 1    100*(QIM/QRM) % of internal to total EUR-19 imports
