region,max_rooftop_share,confidence,source_group,basis
BE,0.45,medium,BODIS_EU,"Bodis et al. 2019 estimate Belgian rooftop PV technical potential at 15.2% of total electricity consumption; translated to a moderate household ceiling because residential demand is a smaller denominator but dense/urban housing limits full household self-supply."
DK,0.45,medium,BODIS_EU,"Bodis et al. 2019 estimate Denmark at 18.4% of total electricity consumption; moderate ceiling reflecting good building stock but lower winter PV output and heating-season mismatch."
DE,0.55,high,BODIS_EU,"Bodis et al. 2019 estimate Germany at 20.2% of total electricity consumption and identify Germany as a large economic-potential market; translated to a high-moderate household ceiling."
EL,0.65,high,BODIS_EU,"Bodis et al. 2019 estimate Greece at 32.0% of total electricity consumption and >30% economic potential; translated to a high household ceiling."
ES,0.60,high,BODIS_EU,"Bodis et al. 2019 estimate Spain at 28.0% of total electricity consumption and a large cost-competitive potential; translated to a high-moderate household ceiling."
FR,0.60,high,BODIS_EU,"Bodis et al. 2019 estimate France at 28.5% of total electricity consumption and a large cost-competitive potential; translated to a high-moderate household ceiling."
IE,0.40,medium,BODIS_EU,"Bodis et al. 2019 estimate Ireland at 11.2% of total electricity consumption; translated to a lower household ceiling because of weaker solar resource and winter mismatch."
IT,0.65,high,BODIS_EU,"Bodis et al. 2019 estimate Italy at 31.0% of total electricity consumption and >30% economic potential; translated to a high household ceiling."
LX,0.35,medium,BODIS_EU,"Bodis et al. 2019 estimate Luxembourg at 10.9% technical and 6.2% economic potential of total electricity consumption; translated to a constrained household ceiling."
NL,0.45,medium,BODIS_EU,"Bodis et al. 2019 estimate the Netherlands at 16.7% technical potential; translated to a moderate ceiling, with dense housing and grid congestion limiting the practical household share."
AT,0.55,medium,BODIS_EU,"Bodis et al. 2019 estimate Austria at 20.8% of total electricity consumption; translated to a high-moderate household ceiling."
PT,0.70,high,BODIS_EU,"Bodis et al. 2019 estimate Portugal at 52.3% of total electricity consumption and 51.8% economic potential; translated to a very high household ceiling."
FI,0.35,medium,BODIS_EU,"Bodis et al. 2019 estimate Finland at 6.1% of total electricity consumption; translated to a low-moderate household ceiling because winter demand and seasonal mismatch are strong."
SW,0.35,medium,BODIS_EU,"Bodis et al. 2019 estimate Sweden at 5.7% of total electricity consumption; translated to a low-moderate household ceiling because winter demand and seasonal mismatch are strong."
UK,0.40,medium,BODIS_EU,"Bodis et al. 2019 estimate the UK at 14.4% technical but only 2.1% economic potential under 2017 assumptions; translated to a lower-moderate household ceiling."
CZ,0.50,medium,BODIS_EU,"Bodis et al. 2019 estimate Czechia at 23.7% technical potential but low cost-competitive potential; translated to a moderate physical ceiling."
EN,0.45,medium,BODIS_EU,"Bodis et al. 2019 estimate Estonia at 17.1% technical potential and identify low tariffs as an economic barrier; translated to a moderate physical ceiling."
CY,0.80,high,BODIS_EU,"Bodis et al. 2019 estimate Cyprus at 119.8% of total electricity consumption and 115.6% economic potential; translated to the highest household ceiling, still capped below full self-supply."
LV,0.50,medium,BODIS_EU,"Bodis et al. 2019 estimate Latvia at 22.1% technical potential but very low economic potential under 2017 assumptions; translated to a moderate physical ceiling."
LT,0.55,medium,BODIS_EU,"Bodis et al. 2019 estimate Lithuania at 30.0% technical potential but very low economic potential under 2017 assumptions; translated to a high-moderate physical ceiling."
HU,0.60,medium,BODIS_EU,"Bodis et al. 2019 estimate Hungary at 48.0% technical potential but finance/tariff barriers; translated to a high physical ceiling with economics left to the cost module."
MT,0.65,high,BODIS_EU,"Bodis et al. 2019 estimate Malta at 37.0% of total electricity consumption and 37.0% economic potential; translated to a high household ceiling."
PL,0.55,medium,BODIS_EU,"Bodis et al. 2019 estimate Poland at 23.3% technical potential but low economic potential under 2017 assumptions; translated to a high-moderate physical ceiling."
SI,0.55,medium,BODIS_EU,"Bodis et al. 2019 estimate Slovenia at 20.8% technical potential; translated to a high-moderate household ceiling."
SK,0.60,medium,BODIS_EU,"Bodis et al. 2019 estimate Slovakia at 36.3% technical potential but very low economic potential under 2017 assumptions; translated to a high physical ceiling."
BG,0.65,medium,BODIS_EU,"Bodis et al. 2019 estimate Bulgaria at 59.8% technical potential and note strong solar resource but tariff/finance barriers; translated to a high physical ceiling."
RO,0.70,medium,BODIS_EU,"Bodis et al. 2019 estimate Romania at 82.3% technical potential but low economic potential under 2017 assumptions; translated to a very high physical ceiling."
NO,0.30,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 residential-rooftop methodology for high-latitude Europe plus Nordic seasonal mismatch; no EU Bodis country value available for Norway."
CH,0.45,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Western Europe residential-rooftop archetype and Alpine/urban constraints; no EU Bodis country value available for Switzerland."
IS,0.25,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 high-latitude residential-rooftop framework; low solar resource and strong seasonal mismatch imply a low practical household ceiling."
HR,0.65,medium,BODIS_EU,"Bodis et al. 2019 estimate Croatia at 50.8% technical potential but low economic potential under 2017 assumptions; translated to a high physical ceiling."
TR,0.60,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Turkey/Middle East cost-region mapping and strong solar resource, moderated for urban apartment shares and grid limits."
MK,0.60,low,GERNAAT_ARCHETYPE,"Inferred from neighbouring Balkan values in Bodis et al. 2019 and the Gernaat et al. 2020 Central/Eastern Europe residential-rooftop archetype."
US,0.60,high,NREL_US,"NREL 2016 estimates U.S. rooftop technical potential at 1,432 TWh/year, 39% of national electricity sales, with small buildings providing about 65% of rooftop potential; translated to a 60% household ceiling."
JA,0.35,high,GERNAAT_COUNTRY,"Gernaat et al. 2020 identify Japan as a high-rise residential archetype with a low roof-to-floor coefficient; translated to a constrained household ceiling."
CA,0.45,medium,GERNAAT_ARCHETYPE,"Gernaat et al. 2020 map Canada to the U.S. cost/roof archetype; value reduced relative to the U.S. for lower winter PV coincidence and higher seasonal mismatch."
AU,0.75,high,APVI_AU,"APVI/UNSW/ISF estimate Australian rooftop potential at 179 GW and 245 TWh/year, exceeding NEM consumption; translated to a very high but not full household ceiling."
NZ,0.55,medium,GERNAAT_ARCHETYPE,"Inferred from the Gernaat et al. 2020 Oceania residential-rooftop archetype, reduced relative to Australia for weaker solar resource and higher seasonal mismatch."
RS,0.35,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Russia residential-rooftop archetype; colder climate, lower irradiance, and district/apartment housing imply a lower ceiling."
RA,0.40,low,GERNAAT_ARCHETYPE,"Rest of Annex I inferred as a weighted conservative blend of Canada, Norway, Switzerland, Iceland, and other high-income non-EU regions in Gernaat et al. 2020."
CN,0.55,medium,CHINA_STUDIES,"Chinese rooftop studies report very large urban rooftop potential, including estimates around 672 TWh/year for urban roofs; translated to a high-moderate household ceiling after allowing for high-rise housing and urban grid limits."
IN,0.70,high,GERNAAT_COUNTRY,"Gernaat et al. 2020 identify India as among the lowest-cost rooftop PV regions and global residential-rooftop potential is large relative to residential demand; translated to a very high household ceiling."
MX,0.65,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Mexico/Latin America rooftop-cost archetype, high solar resource, and comparatively low-rise urban form."
BR,0.65,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Brazil/Latin America archetype with strong solar resource and large residential roof potential."
AR,0.60,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Rest of South America archetype; good resource but more temperate load/resource profile than tropical Latin America."
CO,0.60,medium,GERNAAT_ARCHETYPE,"Inferred from Gernaat et al. 2020 Rest of South/Central America archetype and equatorial solar resource, moderated for urban apartment shares."
LA,0.60,low,GERNAAT_ARCHETYPE,"Rest of Latin America inferred from Gernaat et al. 2020 Mexico, Brazil, Rest Central America, and Rest South America archetypes."
KR,0.35,medium,GERNAAT_COUNTRY,"Gernaat et al. 2020 maps Korea with Japan-like rooftop cost/urban form; high-rise housing constrains household rooftop self-supply."
