,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,262.38951145059,87.4631704835302,10.4955804580236,3.49852681934121,20,20,0,0.1,0.75,0.0229071367153912,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,262.38951145059,87.4631704835302,10.4955804580236,3.49852681934121,20,20,-0.0840642647884745,0.1,0.86,0.0229071367153912,0.15,0,1.34,0,266.76,5,1,0.86,1,0
3 Gas,222.416109315539,74.1387031051799,4.44832218631079,1.48277406210359,20,20,0,0.1,0.75,0.0181306964746345,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,222.416109315539,74.1387031051799,4.44832218631079,1.48277406210359,20,20,-0.0840642647884745,0.1,0.9,0.0181306964746345,0.15,0,1.34,0,201.96,5,1,0.9,1,0
5 Wood stove,225.490986402851,75.1636621342838,0.0563727466007128,0.0187909155335709,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,268.026786110662,89.3422620368873,1.07210714444264,0.357369048147549,20,20,-0.0976107966264223,0.1,0.85,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,126.582440094327,42.1941466981093,2.53164880188655,7.74294439816222,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,135.80707135626199,45.2690237854209,8.14842428137576,0.315827015251817,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,275.713978828941,91.904659609647,0.275713978828941,0.091904659609647,20,20,0,0.1,1,0.150102321582115,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,717.471320372709,239.157106790903,7.17471320372709,2.39157106790903,20,20,-0.432959407276106,0.1,3.5,0.150102321582115,0.1,0,1.34,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,384.359635913951,128.119878637983,7.68719271827902,2.56239757275967,20,20,-0.432959407276106,0.1,2.5,0.150102321582115,0.1,0,1.17,0,0,5,1,1,0.6,0
12 Heatpump AirAir,261.364552421486,87.1215174738289,26.1364552421486,8.71215174738289,20,20,-0.432959407276106,0.1,2.5,0.150102321582115,0.1,0,1.2,0,0,5,1,1,0.6,0
13 Solar Thermal,396.146664748645,132.048888249548,3.96146664748645,1.32048888249548,20,20,-0.263034405833793,0.1,1,0,0,0,1.2,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
