,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,419.876571428571,139.958857142857,16.7950628571428,5.59835428571428,20,20,0,0.1,0.75,0.0831719690455718,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,419.876571428571,139.958857142857,16.7950628571428,5.59835428571428,20,20,-0.0840642647884745,0.1,0.86,0.0831719690455718,0.15,0,2.07,0,266.76,5,1,0.86,1,0
3 Gas,355.911,118.637,7.11822,2.37274,20,20,0,0.1,0.75,0.0994178847807394,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,355.911,118.637,7.11822,2.37274,20,20,-0.0840642647884745,0.1,0.9,0.0994178847807394,0.15,0,2.07,0,201.96,5,1,0.9,1,0
5 Wood stove,360.831428571428,120.277142857142,0.0902078571428571,0.0300692857142857,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,428.897357142857,142.965785714285,1.71558942857142,0.571863142857142,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.02,2.07,0,0,5,1,0.85,1,0
7 Coal,202.557642857142,67.5192142857143,4.05115285714285,8.50529414475,20,20,0,0.1,0.75,0.00700601891659501,0.15,0.06,2.07,0,353.88,5,1,0.75,1,0
8 District heating,217.318928571428,72.4396428571428,13.0391357142857,0.346922504598214,20,20,0,0.1,0.98,0.0781919999374464,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,441.198428571428,147.066142857142,0.441198428571428,0.147066142857142,20,20,0,0.1,1,0.227985382631126,0.1,-0.04,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1148.1,382.7,11.481,3.827,20,20,-0.432959407276106,0.1,3.5,0.227985382631126,0.1,0,2.07,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,615.053571428571,205.017857142857,12.3010714285714,4.10035714285714,20,20,-0.432959407276106,0.1,2.6,0.227985382631126,0.1,0,1.64,0,0,5,1,1,0.6,0
12 Heatpump AirAir,418.236428571428,139.412142857142,41.8236428571428,13.9412142857142,20,20,-0.432959407276106,0.1,2.6,0.227985382631126,0.1,-0.02,1.77,0,0,5,1,1,0.6,0
13 Solar Thermal,633.915214285714,211.305071428571,6.33915214285714,2.11305071428571,20,20,-0.263034405833793,0.1,1,0,0,0.04,0.998,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
