,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,254.286760428786,84.7622534762622,10.1714704171514,3.39049013905048,20,20,0,0.1,0.75,0.119067067927773,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,254.286760428786,84.7622534762622,10.1714704171514,3.39049013905048,20,20,-0.0840642647884745,0.1,0.86,0.119067067927773,0.15,0,2.47,0,266.76,5,1,0.86,1,0
3 Gas,215.547761769713,71.8492539232378,4.31095523539427,1.43698507846475,20,20,0,0.1,0.75,0.0154686156491831,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,215.547761769713,71.8492539232378,4.31095523539427,1.43698507846475,20,20,-0.0840642647884745,0.1,0.9,0.0154686156491831,0.15,0,2.47,0,201.96,5,1,0.9,1,0
5 Wood stove,218.527684743488,72.8425615811628,0.0546319211858721,0.0182106403952907,20,20,0,0.1,0.7,0.0123069647463456,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,259.749952547373,86.5833175157912,1.03899981018949,0.346333270063165,20,20,-0.0976107966264223,0.1,0.85,0.0123069647463456,0.3,0,2.47,0,0,5,1,0.85,1,0
7 Coal,122.673495753731,40.8911652512436,2.45346991507462,3.75936650456126,20,20,0,0.1,0.75,0.0123069647463456,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,131.613264675055,43.8710882250185,7.89679588050333,0.15334082763852,20,20,0,0.1,0.98,0.0154686156491831,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,267.199759981811,89.0665866606036,0.267199759981811,0.0890665866606036,20,20,0,0.1,1,0.0800481513327601,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,695.315360547463,231.771786849154,6.95315360547463,2.31771786849154,20,20,-0.432959407276106,0.1,3.5,0.0800481513327601,0.1,0,2.47,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,372.490371721855,124.163457240618,7.4498074344371,2.48326914481236,20,20,-0.432959407276106,0.1,2.5,0.0800481513327601,0.1,0,1.71,0,0,5,1,1,0.6,0
12 Heatpump AirAir,253.293452770861,84.4311509236205,25.3293452770861,8.44311509236205,20,20,-0.432959407276106,0.1,2.5,0.0800481513327601,0.1,0,1.97,0,0,5,1,1,0.6,0
13 Solar Thermal,383.913409787992,127.971136595997,3.83913409787992,1.27971136595997,20,20,-0.263034405833793,0.1,1,0,0,0,0.897,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
