,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,317.266285714285,105.755428571428,12.6906514285714,4.23021714285714,20,20,0,0.1,0.75,0.123,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,317.266285714285,105.755428571428,12.6906514285714,4.23021714285714,20,20,-0.0840642647884745,0.1,0.86,0.123,0.15,0,2.07,0,266.76,5,1,0.86,1,0
3 Gas,268.93275,89.64425,5.378655,1.792885,20,20,0,0.1,0.75,0.0409862424763542,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,268.93275,89.64425,5.378655,1.792885,20,20,-0.0840642647884745,0.1,0.9,0.0409862424763542,0.15,0,2.07,0,201.96,5,1,0.9,1,0
5 Wood stove,272.650714285714,90.8835714285714,0.0681626785714285,0.0227208928571428,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,324.082553571428,108.027517857142,1.29633021428571,0.432110071428571,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,153.056196428571,51.0187321428571,3.06112392857142,6.54916750584107,20,20,0,0.1,0.75,0.0322278589853826,0.15,0.02,2.07,0,353.88,5,1,0.75,1,0
8 District heating,164.210089285714,54.7366964285714,9.85260535714285,0.267134040926977,20,20,0,0.1,0.98,0.045359999963712,0.15,0.02,2.07,0,0,5,1,0.98,1,0
9 Electric,333.377464285714,111.125821428571,0.333377464285714,0.111125821428571,20,20,0,0.1,1,0.119070507308684,0.1,-0.04,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,867.525,289.175,8.67525,2.89175,20,20,-0.432959407276106,0.1,3.5,0.119070507308684,0.1,0,2.07,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,464.745535714285,154.915178571428,9.29491071428571,3.09830357142857,20,20,-0.432959407276106,0.1,2.6,0.119070507308684,0.1,0,1.64,0,0,5,1,1,0.6,0
12 Heatpump AirAir,316.026964285714,105.342321428571,31.6026964285714,10.5342321428571,20,20,-0.432959407276106,0.1,2.6,0.119070507308684,0.1,0,1.77,0,0,5,1,1,0.6,0
13 Solar Thermal,478.997732142857,159.665910714285,4.78997732142857,1.59665910714285,20,20,-0.263034405833793,0.1,1,0,0,0,0.644,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
