,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,621.558857142857,207.186285714285,24.8623542857142,8.28745142857142,20,20,0,0.1,0.75,0.0880902837489251,0.15,0.02,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,621.558857142857,207.186285714285,24.8623542857142,8.28745142857142,20,20,-0.0840642647884745,0.1,0.86,0.0880902837489251,0.15,0,2.47,0,266.76,5,1,0.86,1,0
3 Gas,526.86825,175.62275,10.537365,3.51245499999999,20,20,0,0.1,0.75,0.0900283748925193,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,526.86825,175.62275,10.537365,3.51245499999999,20,20,-0.0840642647884745,0.1,0.9,0.0900283748925193,0.15,0,2.47,0,201.96,5,1,0.9,1,0
5 Wood stove,534.152142857142,178.050714285714,0.133538035714285,0.0445126785714285,20,20,0,0.1,0.7,0.046,0.3,-0.03,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,634.912660714285,211.637553571428,2.53965064285714,0.846550214285714,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0,2.47,0,0,5,1,0.85,1,0
7 Coal,299.853589285714,99.9511964285714,5.99707178571428,22.3435002495482,20,20,0,0.1,0.75,0.0579999999999999,0.15,0.0699999999999999,2.47,0,353.88,5,1,0.75,1,0
8 District heating,321.705267857142,107.235089285714,19.3023160714285,0.911369193838967,20,20,0,0.1,0.98,0.0816479999346815,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,653.122392857142,217.707464285714,0.653122392857142,0.217707464285714,20,20,0,0.1,1,0.206083404987102,0.1,-0.0399999999999999,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,1699.575,566.525,16.99575,5.66525,20,20,-0.432959407276106,0.1,3.5,0.206083404987102,0.1,0,2.47,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,910.486607142857,303.495535714285,18.2097321428571,6.06991071428571,20,20,-0.432959407276106,0.1,2.5,0.206083404987102,0.1,-0.02,1.71,0,0,5,1,1,0.6,0
12 Heatpump AirAir,619.130892857142,206.376964285714,61.9130892857142,20.6376964285714,20,20,-0.432959407276106,0.1,2.5,0.206083404987102,0.1,0,1.97,0,0,5,1,1,0.6,0
13 Solar Thermal,938.408196428571,312.802732142857,9.38408196428571,3.12802732142857,20,20,-0.263034405833793,0.1,1,0,0,0,0.578,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
