,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,312.213160960049,104.071053653349,12.4885264384019,4.16284214613398,20,20,0,0.1,0.75,0.052883920894239,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,312.213160960049,104.071053653349,12.4885264384019,4.16284214613398,20,20,-0.0840642647884745,0.1,0.86,0.052883920894239,0.15,0,1.34,0,266.76,5,1,0.86,1,0
3 Gas,264.649437220041,88.2164790733471,5.29298874440083,1.76432958146694,20,20,0,0.1,0.75,0.0290137575236457,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,264.649437220041,88.2164790733471,5.29298874440083,1.76432958146694,20,20,-0.0840642647884745,0.1,0.9,0.0290137575236457,0.15,0,1.34,0,201.96,5,1,0.9,1,0
5 Wood stove,268.308185200042,89.4360617333473,0.0670770463000105,0.0223590154333368,20,20,0,0.1,0.7,0.00832244196044712,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,318.92086559005,106.306955196683,1.2756834623602,0.425227820786733,20,20,-0.0976107966264223,0.1,0.85,0.00832244196044712,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,150.618458510023,50.2061528366745,3.01236917020047,4.20980545259804,20,20,0,0.1,0.75,0.00832244196044712,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,161.594702450025,53.8649008166751,9.69568214700152,0.171713785159097,20,20,0,0.1,0.98,0.0290137575236457,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,328.067735540051,109.355911846683,0.328067735540051,0.109355911846683,20,20,0,0.1,1,0.0667076526225279,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,853.707862000134,284.569287333378,8.53707862000134,2.84569287333378,20,20,-0.432959407276106,0.1,3.5,0.0667076526225279,0.1,0,1.34,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,457.343497500071,152.447832500023,9.14686995000143,3.04895665000047,20,20,-0.432959407276106,0.1,2.5,0.0667076526225279,0.1,0,1.17,0,0,5,1,1,0.6,0
12 Heatpump AirAir,310.993578300048,103.664526100016,31.0993578300048,10.3664526100016,20,20,-0.432959407276106,0.1,2.5,0.0667076526225279,0.1,0,1.2,0,0,5,1,1,0.6,0
13 Solar Thermal,471.368698090074,157.122899363358,4.71368698090074,1.57122899363358,20,20,-0.263034405833793,0.1,1,0,0,0,0.817,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
