,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,609.764571428571,203.254857142857,24.3905828571428,8.13019428571428,20,20,0,0.1,0.75,0.08668271711092,0.15,0.01,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,609.764571428571,203.254857142857,24.3905828571428,8.13019428571428,20,20,-0.0840642647884745,0.1,0.86,0.08668271711092,0.15,0,2.07,0,266.76,5,1,0.86,1,0
3 Gas,516.87075,172.29025,10.337415,3.445805,20,20,0,0.1,0.75,0.0758254514187446,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,516.87075,172.29025,10.337415,3.445805,20,20,-0.0840642647884745,0.1,0.9,0.0758254514187446,0.15,0.01,2.07,0,201.96,5,1,0.9,1,0
5 Wood stove,524.016428571428,174.672142857142,0.131004107142857,0.0436680357142857,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,622.864982142857,207.621660714285,2.49145992857142,0.830486642857142,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,294.163767857142,98.0545892857142,5.88327535714285,13.9594827709071,20,20,0,0.1,0.75,0.0241023215821152,0.15,0.08,2.07,0,353.88,5,1,0.75,1,0
8 District heating,315.600803571428,105.200267857142,18.9360482142857,0.569393444054846,20,20,0,0.1,0.98,0.0706859999434511,0.15,0.02,2.07,0,0,5,1,0.98,1,0
9 Electric,640.729178571428,213.576392857142,0.640729178571428,0.213576392857142,20,20,0,0.1,1,0.152915735167669,0.1,-0.02,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1667.325,555.775,16.67325,5.55774999999999,20,20,-0.432959407276106,0.1,3.5,0.152915735167669,0.1,-0.01,2.07,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,893.209821428571,297.736607142857,17.8641964285714,5.95473214285714,20,20,-0.432959407276106,0.1,2.6,0.152915735167669,0.1,0,1.64,0,0,5,1,1,0.6,0
12 Heatpump AirAir,607.382678571428,202.460892857142,60.7382678571428,20.2460892857142,20,20,-0.432959407276106,0.1,2.6,0.152915735167669,0.1,0,1.77,0,0,5,1,1,0.6,0
13 Solar Thermal,920.601589285714,306.867196428571,9.20601589285714,3.06867196428571,20,20,-0.263034405833793,0.1,1,0,0,-0.02,0.673,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
