,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,255.344043041625,85.1146810138752,10.213761721665,3.404587240555,20,20,0,0.1,0.75,0.0229071367153912,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,255.344043041625,85.1146810138752,10.213761721665,3.404587240555,20,20,-0.0840642647884745,0.1,0.86,0.0229071367153912,0.15,0,1.34,0,266.76,5,1,0.86,1,0
3 Gas,216.443973984503,72.1479913281676,4.32887947969006,1.44295982656335,20,20,0,0.1,0.75,0.0181306964746345,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,216.443973984503,72.1479913281676,4.32887947969006,1.44295982656335,20,20,-0.0840642647884745,0.1,0.9,0.0181306964746345,0.15,0,1.34,0,201.96,5,1,0.9,1,0
5 Wood stove,219.436286988897,73.145428996299,0.0548590717472242,0.0182863572490747,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,260.829950216348,86.9433167387827,1.04331980086539,0.34777326695513,20,20,-0.0976107966264223,0.1,0.85,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,123.183552014221,41.0611840047405,2.46367104028443,3.79886407708323,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,132.160491027403,44.0534970091346,7.92962946164423,0.154951894410776,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,268.310732727333,89.436910909111,0.268310732727333,0.089436910909111,20,20,0,0.1,1,0.150102321582115,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,698.206367691945,232.735455897315,6.98206367691945,2.32735455897315,20,20,-0.432959407276106,0.1,3.5,0.150102321582115,0.1,0,1.34,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,374.039125549256,124.679708516418,7.48078251098512,2.49359417032837,20,20,-0.432959407276106,0.1,2.5,0.150102321582115,0.1,0,1.17,0,0,5,1,1,0.6,0
12 Heatpump AirAir,254.346605373494,84.7822017911647,25.4346605373494,8.47822017911647,20,20,-0.432959407276106,0.1,2.5,0.150102321582115,0.1,0,1.2,0,0,5,1,1,0.6,0
13 Solar Thermal,385.509658732766,128.503219577588,3.85509658732766,1.28503219577588,20,20,-0.263034405833793,0.1,1,0,0,0,1.2,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
