,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,371.52,123.84,14.8608,4.9536,20,20,0,0.1,0.75,0.11879105760963,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,371.52,123.84,14.8608,4.9536,20,20,-0.0840642647884745,0.1,0.86,0.11879105760963,0.15,0,1.34,0,266.76,5,1,0.86,1,0
3 Gas,314.92125,104.97375,6.298425,2.099475,20,20,0,0.1,0.75,0.116917454858125,0.15,-0.02,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,314.92125,104.97375,6.298425,2.099475,20,20,-0.0840642647884745,0.1,0.9,0.116917454858125,0.15,-0.03,1.34,0,201.96,5,1,0.9,1,0
5 Wood stove,319.275,106.425,0.07981875,0.02660625,20,20,0,0.1,0.7,0.046,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,379.501875,126.500625,1.5180075,0.5060025,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,179.229375,59.743125,3.5845875,12.471245908875,20,20,0,0.1,0.75,0.0151212381771281,0.15,0.001667,1.34,0,353.88,5,1,0.75,1,0
8 District heating,192.290625,64.096875,11.5374375,0.508689739888392,20,20,0,0.1,0.98,0.078,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,390.38625,130.12875,0.39038625,0.13012875,20,20,0,0.1,1,0.177338779019776,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1015.875,338.625,10.15875,3.38625,20,20,-0.432959407276106,0.1,3.5,0.177338779019776,0.1,0,1.34,0,0,5,1,1,0.714285714285714,0
11 Heatpump AirWater,544.21875,181.40625,10.884375,3.628125,20,20,-0.432959407276106,0.1,2.7,0.177338779019776,0.1,0,1.17,0,0,5,1,1,0.6,0
12 Heatpump AirAir,370.06875,123.35625,37.006875,12.335625,20,20,-0.432959407276106,0.1,2.7,0.177338779019776,0.1,0,1.2,0,0,5,1,1,0.6,0
13 Solar Thermal,560.908125,186.969375,5.60908125,1.86969375,20,20,-0.263034405833793,0.1,1,0,0,0.05,0.995,0,0,5,1,1,1,0
14 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,1,1,0,0
15 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
16 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
17 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
18 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
19 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
20 undefined,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3,0,5,1,1,0,0
